Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,RemodAge,TotalBathrooms,TotalPoarchSF,PricePerSqFt
11,20,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,No,Rec,906,Unf,0,134,1040,GasA,0,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,3,Detchd,1965.0,Unf,1,384,5,5,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD,Normal,11.771443882099637,43,43,2.0,0,124.51923076923077
12,60,RL,85.0,11924,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,0,4,PConc,0,4,No,GLQ,998,Unf,0,177,1175,GasA,0,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,0,11,Typ,2,2,BuiltIn,2005.0,Fin,3,736,5,5,Y,147,21,0,0,0,0,None,None,None,0,7,2006,New,Partial,12.75130259456002,1,0,4.0,21,148.4509466437177
13,20,RL,71.0,12968,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,4,CBlock,4,4,No,ALQ,737,Unf,0,175,912,GasA,4,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,3,Detchd,1962.0,Unf,1,352,5,5,Y,140,0,0,0,176,0,None,None,None,0,9,2008,WD,Normal,11.87757552297847,46,46,2.0,176,157.89473684210526
14,20,RL,91.0,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,2,4,PConc,2,4,Av,Unf,0,Unf,0,1494,1494,GasA,0,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,2,7,Typ,1,2,Attchd,2006.0,RFn,3,840,5,5,Y,160,33,0,0,0,0,None,None,None,0,8,2007,New,Partial,12.540761149388421,1,0,2.0,33,187.08165997322624
15,20,RL,73.0,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,4,CBlock,4,4,No,BLQ,733,Unf,0,520,1253,GasA,4,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,1,Attchd,1960.0,RFn,1,352,5,5,Y,0,213,176,0,0,0,None,GdWo,None,0,5,2008,WD,Normal,11.964007453736912,48,48,2.5,389,125.29928172386273
16,45,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,4,No,Unf,0,Unf,0,832,832,GasA,0,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,3,Detchd,1991.0,Unf,2,576,5,5,Y,48,112,0,0,0,0,None,GdPrv,None,0,7,2007,WD,Normal,11.790564777297387,78,6,1.0,112,154.56674473067915
17,20,RL,73.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,4,CBlock,4,4,No,ALQ,578,Unf,0,426,1004,GasA,0,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,5,Attchd,1970.0,Fin,2,480,5,5,Y,0,0,0,0,0,0,None,None,Shed,700,3,2010,WD,Normal,11.91170829631447,40,40,2.0,0,148.40637450199202
18,90,RL,72.0,10791,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,Slab,3,2,None,None,0,None,0,0,0,GasA,4,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,3,CarPort,1967.0,Unf,2,516,5,5,Y,0,0,0,0,0,0,None,None,Shed,500,10,2006,WD,Normal,11.407576060361786,39,39,2.0,0,69.44444444444444
19,20,RL,66.0,13695,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,No,GLQ,646,Unf,0,468,1114,GasA,0,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,2,6,Typ,0,3,Detchd,2004.0,Unf,2,576,5,5,Y,0,102,0,0,0,0,None,None,None,0,6,2008,WD,Normal,11.976665770490767,4,4,2.5,102,142.72890484739676
20,20,RL,70.0,7560,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,4,CBlock,4,4,No,LwQ,504,Unf,0,525,1029,GasA,4,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,3,Attchd,1958.0,Unf,1,294,5,5,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2009,COD,Abnorml,11.842236406331555,51,44,1.0,0,103.80881254667662
21,60,RL,101.0,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,2,4,PConc,0,4,Av,Unf,0,Unf,0,1158,1158,GasA,0,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,2,9,Typ,1,2,BuiltIn,2005.0,RFn,3,853,5,5,Y,240,154,0,0,0,0,None,None,None,0,11,2006,New,Partial,12.692506186542177,1,0,3.5,154,136.91077441077442
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,4,4,No,Unf,0,Unf,0,637,637,GasA,0,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,2,6,Typ,1,2,Attchd,1930.0,Unf,1,280,5,5,N,0,0,205,0,0,0,None,GdPrv,None,0,6,2007,WD,Normal,11.845109950883979,77,57,1.0,205,125.81227436823104
23,20,RL,75.0,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,2,4,PConc,2,4,No,Unf,0,Unf,0,1777,1777,GasA,0,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,2,7,Typ,1,2,Attchd,2002.0,RFn,2,534,5,5,Y,171,159,0,0,0,0,None,None,None,0,9,2008,WD,Normal,12.345838935721968,6,6,2.0,159,128.13370473537606
24,120,RM,44.0,4224,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,PConc,2,4,No,GLQ,840,Unf,0,200,1040,GasA,4,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,5,Attchd,1976.0,Unf,2,572,5,5,Y,100,110,0,0,0,0,None,None,None,0,6,2007,WD,Normal,11.774527900858468,31,31,2.0,110,122.54716981132076
25,20,RL,71.0,8246,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,2,CBlock,4,4,Mn,Rec,188,ALQ,668,204,1060,GasA,0,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,2,6,Typ,1,5,Attchd,1968.0,Unf,1,270,5,5,Y,406,90,0,0,0,0,None,MnPrv,None,0,5,2010,WD,Normal,11.944714374881176,42,9,2.0,90,145.28301886792454
26,20,RL,110.0,14230,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,2,4,PConc,2,4,No,Unf,0,Unf,0,1566,1566,GasA,0,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,2,7,Typ,1,2,Attchd,2007.0,RFn,3,890,5,5,Y,0,56,0,0,0,0,None,None,None,0,7,2009,WD,Normal,12.454107814022272,2,2,2.0,56,160.1875
27,20,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,4,4,Mn,BLQ,234,Rec,486,180,900,GasA,4,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,2,5,Typ,0,3,Detchd,2005.0,Unf,2,576,5,5,Y,222,32,0,0,0,0,None,None,None,0,5,2010,WD,Normal,11.811554895830454,59,10,1.5,32,149.77777777777777
28,20,RL,98.0,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,2,4,PConc,0,4,No,GLQ,1218,Unf,0,486,1704,GasA,0,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,2,7,Typ,1,2,Attchd,2008.0,RFn,3,772,5,5,Y,0,50,0,0,0,0,None,None,None,0,5,2010,WD,Normal,12.631343648903034,3,2,3.0,50,179.57746478873239
29,20,RL,47.0,16321,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,4,Gd,BLQ,1277,Unf,0,207,1484,GasA,4,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,2,Attchd,1957.0,RFn,1,319,5,5,Y,288,258,0,0,0,0,None,None,None,0,12,2006,WD,Normal,12.242891437918386,49,9,2.0,258,129.6875
30,30,RM,60.0,6324,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,No,Unf,0,Unf,0,520,520,GasA,1,N,SBrkr,520,0,0,520,0,0,1,0,1,1,1,4,Typ,0,3,Detchd,1920.0,Unf,1,240,1,5,Y,49,0,87,0,0,0,None,None,None,0,5,2008,WD,Normal,11.134603622683905,81,58,1.0,87,131.73076923076923
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,1,BrkTil,4,4,No,Unf,0,Unf,0,649,649,GasA,4,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,3,Detchd,1920.0,Unf,1,250,5,1,N,0,54,172,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,10.596659732783579,88,58,1.0,226,30.372057706909644
32,20,RL,71.0,8544,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,No,Unf,0,Unf,0,1228,1228,GasA,2,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,2,6,Typ,0,3,Attchd,1966.0,Unf,1,271,5,5,Y,0,65,0,0,0,0,None,MnPrv,None,0,6,2008,WD,Normal,11.914054519303125,42,2,1.5,65,121.62052117263843
33,20,RL,85.0,11049,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,Av,Unf,0,Unf,0,1234,1234,GasA,0,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,2,7,Typ,0,3,Attchd,2007.0,RFn,2,484,5,5,Y,0,30,0,0,0,0,None,None,None,0,1,2008,WD,Normal,12.100161978566867,1,1,2.0,30,145.78606158833063
34,20,RL,70.0,10552,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,4,CBlock,4,4,No,Rec,1018,Unf,0,380,1398,GasA,2,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,2,6,Typ,1,2,Attchd,1959.0,RFn,2,447,5,5,Y,0,38,0,0,0,0,None,None,None,0,4,2010,WD,Normal,12.016732516077072,51,51,2.0,38,97.3529411764706
35,120,RL,60.0,7313,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,0,4,PConc,0,4,No,GLQ,1153,Unf,0,408,1561,GasA,0,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,0,6,Typ,1,2,Attchd,2005.0,Fin,2,556,5,5,Y,203,47,0,0,0,0,None,None,None,0,8,2007,WD,Normal,12.533579815765737,2,2,3.0,47,177.7706598334401
36,60,RL,108.0,13418,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,2,4,PConc,0,4,Av,Unf,0,Unf,0,1117,1117,GasA,0,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,2,9,Typ,1,2,BuiltIn,2004.0,Fin,3,691,5,5,Y,113,32,0,0,0,0,None,None,None,0,9,2006,WD,Normal,12.6410997921206,2,1,3.5,32,126.01957585644372
37,20,RL,112.0,10859,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,No,Unf,0,Unf,0,1097,1097,GasA,0,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,3,Attchd,1995.0,Unf,2,672,5,5,Y,392,64,0,0,0,0,None,None,None,0,6,2009,WD,Normal,11.884495917930655,15,14,1.5,64,132.17866909753874
38,20,RL,74.0,8532,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,4,CBlock,4,4,No,Rec,1213,Unf,0,84,1297,GasA,2,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,5,Attchd,1954.0,Fin,2,498,5,5,Y,0,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,11.938199736300925,55,19,1.5,0,117.96453353893601
39,20,RL,68.0,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,No,GLQ,731,Unf,0,326,1057,GasA,4,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,2,5,Typ,0,3,Detchd,1953.0,Unf,1,246,5,5,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD,Abnorml,11.599112335481124,57,3,2.0,52,103.12204351939451
40,90,RL,65.0,6040,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,4,PConc,3,2,None,None,0,None,0,0,0,GasA,4,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,1,6,Typ,0,3,None,0.0,None,0,0,3,3,N,0,0,0,0,0,0,None,None,None,0,6,2008,WD,AdjLand,11.314486721293981,53,53,2.0,0,71.18055555555556
41,20,RL,84.0,8658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,4,CBlock,4,4,No,Rec,643,Unf,0,445,1088,GasA,0,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,5,Attchd,1965.0,RFn,2,440,5,5,Y,0,138,0,0,0,0,None,GdWo,None,0,12,2006,WD,Abnorml,11.982935344196433,41,41,2.0,138,120.84592145015105
42,20,RL,115.0,16905,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,Gd,BLQ,967,Unf,0,383,1350,GasA,2,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,2,Attchd,1959.0,RFn,1,308,5,5,P,0,104,0,0,0,0,None,None,None,0,7,2007,WD,Normal,12.04355959836804,48,48,2.0,104,128.0120481927711
43,85,RL,66.5,9180,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,2,4,Av,ALQ,747,LwQ,93,0,840,GasA,2,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,2,5,Typ,0,3,Attchd,1983.0,RFn,2,504,5,2,Y,240,0,0,0,0,0,None,MnPrv,None,0,12,2007,WD,Normal,11.87757552297847,24,24,2.0,0,162.89592760180994
44,20,RL,70.0,9200,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,2,4,Av,LwQ,280,BLQ,491,167,938,GasA,4,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,3,Detchd,1977.0,Unf,1,308,5,5,Y,145,0,0,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,11.777218637129327,33,28,2.0,0,138.8592750533049
45,20,RL,70.0,7945,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,4,CBlock,4,4,No,ALQ,179,BLQ,506,465,1150,GasA,0,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,3,Attchd,1959.0,RFn,1,300,5,5,Y,0,0,0,0,0,0,None,None,None,0,5,2006,WD,Normal,11.856522261533737,47,47,2.0,0,122.6086956521739
46,120,RL,61.0,7658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,0,4,PConc,0,4,No,GLQ,456,Unf,0,1296,1752,GasA,0,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,0,6,Typ,1,2,Attchd,2005.0,RFn,2,576,5,5,Y,196,82,0,0,0,0,None,None,None,0,2,2010,WD,Normal,12.675766851909591,5,5,3.0,82,182.59132420091325
47,50,RL,48.0,12822,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,No,GLQ,1351,Unf,0,83,1434,GasA,0,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,2,6,Typ,1,0,Attchd,2003.0,RFn,2,670,5,5,Y,168,43,0,0,198,0,None,None,None,0,8,2009,WD,Abnorml,12.387089184491993,6,6,2.5,241,111.53373662168451
